#angle_wide.04.dat:2   Hist_00001
             60.0000       0.0000
             60.6000       0.0000
             61.2000       0.0000
             61.8000       0.0000
             62.4000       0.0000
             63.0000       0.0000
             63.6000       0.0000
             64.2000       0.0000
             64.8000       0.0000
             65.4000       0.0000
             66.0000       0.0000
             66.6000       0.0000
             67.2000       0.0000
             67.8000       0.0000
             68.4000       0.0000
             69.0000       0.0000
             69.6000       0.0000
             70.2000       0.0000
             70.8000       0.0000
             71.4000       0.0000
             72.0000       0.0000
             72.6000       0.0000
             73.2000       0.0000
             73.8000       0.0000
             74.4000       0.0000
             75.0000       0.0000
             75.6000       0.0000
             76.2000       0.0000
             76.8000       0.0000
             77.4000       0.0000
             78.0000       0.0000
             78.6000       0.0001
             79.2000       0.0000
             79.8000       0.0000
             80.4000       0.0001
             81.0000       0.0001
             81.6000       0.0001
             82.2000       0.0001
             82.8000       0.0002
             83.4000       0.0001
             84.0000       0.0003
             84.6000       0.0003
             85.2000       0.0002
             85.8000       0.0002
             86.4000       0.0003
             87.0000       0.0004
             87.6000       0.0005
             88.2000       0.0006
             88.8000       0.0007
             89.4000       0.0007
             90.0000       0.0007
             90.6000       0.0007
             91.2000       0.0006
             91.8000       0.0005
             92.4000       0.0007
             93.0000       0.0006
             93.6000       0.0007
             94.2000       0.0009
             94.8000       0.0010
             95.4000       0.0012
             96.0000       0.0010
             96.6000       0.0013
             97.2000       0.0015
             97.8000       0.0013
             98.4000       0.0015
             99.0000       0.0017
             99.6000       0.0020
            100.2000       0.0022
            100.8000       0.0019
            101.4000       0.0022
            102.0000       0.0021
            102.6000       0.0021
            103.2000       0.0022
            103.8000       0.0020
            104.4000       0.0023
            105.0000       0.0022
            105.6000       0.0025
            106.2000       0.0030
            106.8000       0.0025
            107.4000       0.0029
            108.0000       0.0034
            108.6000       0.0032
            109.2000       0.0037
            109.8000       0.0039
            110.4000       0.0045
            111.0000       0.0051
            111.6000       0.0053
            112.2000       0.0060
            112.8000       0.0065
            113.4000       0.0075
            114.0000       0.0075
            114.6000       0.0079
            115.2000       0.0079
            115.8000       0.0089
            116.4000       0.0092
            117.0000       0.0097
            117.6000       0.0098
            118.2000       0.0106
            118.8000       0.0113
            119.4000       0.0122
            120.0000       0.0133
            120.6000       0.0141
            121.2000       0.0156
            121.8000       0.0160
            122.4000       0.0165
            123.0000       0.0165
            123.6000       0.0177
            124.2000       0.0180
            124.8000       0.0179
            125.4000       0.0195
            126.0000       0.0212
            126.6000       0.0215
            127.2000       0.0215
            127.8000       0.0222
            128.4000       0.0239
            129.0000       0.0243
            129.6000       0.0246
            130.2000       0.0243
            130.8000       0.0248
            131.4000       0.0252
            132.0000       0.0249
            132.6000       0.0245
            133.2000       0.0247
            133.8000       0.0244
            134.4000       0.0235
            135.0000       0.0229
            135.6000       0.0215
            136.2000       0.0214
            136.8000       0.0198
            137.4000       0.0189
            138.0000       0.0167
            138.6000       0.0155
            139.2000       0.0149
            139.8000       0.0133
            140.4000       0.0122
            141.0000       0.0116
            141.6000       0.0101
            142.2000       0.0092
            142.8000       0.0083
            143.4000       0.0082
            144.0000       0.0074
            144.6000       0.0063
            145.2000       0.0059
            145.8000       0.0052
            146.4000       0.0045
            147.0000       0.0043
            147.6000       0.0037
            148.2000       0.0031
            148.8000       0.0025
            149.4000       0.0024
            150.0000       0.0018
            150.6000       0.0016
            151.2000       0.0013
            151.8000       0.0009
            152.4000       0.0008
            153.0000       0.0008
            153.6000       0.0006
            154.2000       0.0005
            154.8000       0.0005
            155.4000       0.0005
            156.0000       0.0004
            156.6000       0.0003
            157.2000       0.0003
            157.8000       0.0002
            158.4000       0.0003
            159.0000       0.0003
            159.6000       0.0002
            160.2000       0.0003
            160.8000       0.0002
            161.4000       0.0002
            162.0000       0.0001
            162.6000       0.0001
            163.2000       0.0002
            163.8000       0.0001
            164.4000       0.0001
            165.0000       0.0001
            165.6000       0.0001
            166.2000       0.0001
            166.8000       0.0001
            167.4000       0.0000
            168.0000       0.0000
            168.6000       0.0000
            169.2000       0.0000
            169.8000       0.0000
            170.4000       0.0000
            171.0000       0.0000
            171.6000       0.0000
            172.2000       0.0000
            172.8000       0.0000
            173.4000       0.0000
            174.0000       0.0000
            174.6000       0.0000
            175.2000       0.0000
            175.8000       0.0000
            176.4000       0.0000
            177.0000       0.0000
            177.6000       0.0000
            178.2000       0.0000
            178.8000       0.0000
            179.4000       0.0000
