#angle_wide.NMR03.01.dat:2   Hist_00001
                   60.0000       0.0000
                   60.6000       0.0000
                   61.2000       0.0000
                   61.8000       0.0000
                   62.4000       0.0000
                   63.0000       0.0000
                   63.6000       0.0000
                   64.2000       0.0000
                   64.8000       0.0000
                   65.4000       0.0000
                   66.0000       0.0000
                   66.6000       0.0000
                   67.2000       0.0000
                   67.8000       0.0000
                   68.4000       0.0000
                   69.0000       0.0000
                   69.6000       0.0000
                   70.2000       0.0000
                   70.8000       0.0000
                   71.4000       0.0000
                   72.0000       0.0000
                   72.6000       0.0000
                   73.2000       0.0000
                   73.8000       0.0000
                   74.4000       0.0000
                   75.0000       0.0000
                   75.6000       0.0000
                   76.2000       0.0000
                   76.8000       0.0000
                   77.4000       0.0000
                   78.0000       0.0000
                   78.6000       0.0000
                   79.2000       0.0001
                   79.8000       0.0000
                   80.4000       0.0000
                   81.0000       0.0001
                   81.6000       0.0002
                   82.2000       0.0001
                   82.8000       0.0002
                   83.4000       0.0002
                   84.0000       0.0005
                   84.6000       0.0005
                   85.2000       0.0002
                   85.8000       0.0007
                   86.4000       0.0007
                   87.0000       0.0009
                   87.6000       0.0009
                   88.2000       0.0006
                   88.8000       0.0016
                   89.4000       0.0010
                   90.0000       0.0012
                   90.6000       0.0017
                   91.2000       0.0013
                   91.8000       0.0028
                   92.4000       0.0021
                   93.0000       0.0037
                   93.6000       0.0025
                   94.2000       0.0027
                   94.8000       0.0048
                   95.4000       0.0046
                   96.0000       0.0050
                   96.6000       0.0054
                   97.2000       0.0052
                   97.8000       0.0062
                   98.4000       0.0079
                   99.0000       0.0062
                   99.6000       0.0091
                  100.2000       0.0101
                  100.8000       0.0103
                  101.4000       0.0145
                  102.0000       0.0123
                  102.6000       0.0145
                  103.2000       0.0138
                  103.8000       0.0170
                  104.4000       0.0162
                  105.0000       0.0171
                  105.6000       0.0170
                  106.2000       0.0210
                  106.8000       0.0209
                  107.4000       0.0175
                  108.0000       0.0208
                  108.6000       0.0219
                  109.2000       0.0231
                  109.8000       0.0216
                  110.4000       0.0239
                  111.0000       0.0240
                  111.6000       0.0241
                  112.2000       0.0238
                  112.8000       0.0228
                  113.4000       0.0243
                  114.0000       0.0215
                  114.6000       0.0233
                  115.2000       0.0229
                  115.8000       0.0237
                  116.4000       0.0229
                  117.0000       0.0194
                  117.6000       0.0239
                  118.2000       0.0201
                  118.8000       0.0152
                  119.4000       0.0149
                  120.0000       0.0162
                  120.6000       0.0154
                  121.2000       0.0139
                  121.8000       0.0137
                  122.4000       0.0127
                  123.0000       0.0110
                  123.6000       0.0110
                  124.2000       0.0097
                  124.8000       0.0094
                  125.4000       0.0104
                  126.0000       0.0067
                  126.6000       0.0076
                  127.2000       0.0062
                  127.8000       0.0060
                  128.4000       0.0064
                  129.0000       0.0063
                  129.6000       0.0054
                  130.2000       0.0053
                  130.8000       0.0035
                  131.4000       0.0040
                  132.0000       0.0050
                  132.6000       0.0051
                  133.2000       0.0032
                  133.8000       0.0023
                  134.4000       0.0031
                  135.0000       0.0032
                  135.6000       0.0024
                  136.2000       0.0037
                  136.8000       0.0026
                  137.4000       0.0021
                  138.0000       0.0023
                  138.6000       0.0018
                  139.2000       0.0017
                  139.8000       0.0018
                  140.4000       0.0018
                  141.0000       0.0022
                  141.6000       0.0012
                  142.2000       0.0026
                  142.8000       0.0019
                  143.4000       0.0027
                  144.0000       0.0019
                  144.6000       0.0017
                  145.2000       0.0030
                  145.8000       0.0021
                  146.4000       0.0013
                  147.0000       0.0013
                  147.6000       0.0025
                  148.2000       0.0020
                  148.8000       0.0017
                  149.4000       0.0017
                  150.0000       0.0015
                  150.6000       0.0012
                  151.2000       0.0012
                  151.8000       0.0018
                  152.4000       0.0018
                  153.0000       0.0014
                  153.6000       0.0014
                  154.2000       0.0015
                  154.8000       0.0012
                  155.4000       0.0016
                  156.0000       0.0012
                  156.6000       0.0011
                  157.2000       0.0005
                  157.8000       0.0007
                  158.4000       0.0009
                  159.0000       0.0007
                  159.6000       0.0013
                  160.2000       0.0008
                  160.8000       0.0006
                  161.4000       0.0004
                  162.0000       0.0010
                  162.6000       0.0003
                  163.2000       0.0007
                  163.8000       0.0003
                  164.4000       0.0004
                  165.0000       0.0001
                  165.6000       0.0001
                  166.2000       0.0003
                  166.8000       0.0001
                  167.4000       0.0000
                  168.0000       0.0000
                  168.6000       0.0000
                  169.2000       0.0000
                  169.8000       0.0000
                  170.4000       0.0000
                  171.0000       0.0000
                  171.6000       0.0000
                  172.2000       0.0000
                  172.8000       0.0000
                  173.4000       0.0000
                  174.0000       0.0000
                  174.6000       0.0000
                  175.2000       0.0000
                  175.8000       0.0000
                  176.4000       0.0000
                  177.0000       0.0000
                  177.6000       0.0000
                  178.2000       0.0000
                  178.8000       0.0000
                  179.4000       0.0000
