#all-wide-angles.dat:2   Hist_00002
               60.0000       0.0000
               60.6000       0.0000
               61.2000       0.0000
               61.8000       0.0000
               62.4000       0.0000
               63.0000       0.0000
               63.6000       0.0000
               64.2000       0.0000
               64.8000       0.0000
               65.4000       0.0000
               66.0000       0.0000
               66.6000       0.0000
               67.2000       0.0000
               67.8000       0.0000
               68.4000       0.0000
               69.0000       0.0000
               69.6000       0.0000
               70.2000       0.0000
               70.8000       0.0001
               71.4000       0.0001
               72.0000       0.0001
               72.6000       0.0001
               73.2000       0.0001
               73.8000       0.0001
               74.4000       0.0001
               75.0000       0.0001
               75.6000       0.0002
               76.2000       0.0002
               76.8000       0.0002
               77.4000       0.0002
               78.0000       0.0003
               78.6000       0.0003
               79.2000       0.0003
               79.8000       0.0003
               80.4000       0.0004
               81.0000       0.0004
               81.6000       0.0004
               82.2000       0.0004
               82.8000       0.0004
               83.4000       0.0004
               84.0000       0.0005
               84.6000       0.0005
               85.2000       0.0005
               85.8000       0.0006
               86.4000       0.0006
               87.0000       0.0006
               87.6000       0.0007
               88.2000       0.0007
               88.8000       0.0008
               89.4000       0.0008
               90.0000       0.0010
               90.6000       0.0010
               91.2000       0.0011
               91.8000       0.0012
               92.4000       0.0014
               93.0000       0.0014
               93.6000       0.0014
               94.2000       0.0015
               94.8000       0.0016
               95.4000       0.0016
               96.0000       0.0017
               96.6000       0.0018
               97.2000       0.0019
               97.8000       0.0020
               98.4000       0.0021
               99.0000       0.0022
               99.6000       0.0022
              100.2000       0.0025
              100.8000       0.0025
              101.4000       0.0027
              102.0000       0.0028
              102.6000       0.0029
              103.2000       0.0030
              103.8000       0.0031
              104.4000       0.0032
              105.0000       0.0034
              105.6000       0.0035
              106.2000       0.0036
              106.8000       0.0037
              107.4000       0.0038
              108.0000       0.0038
              108.6000       0.0039
              109.2000       0.0042
              109.8000       0.0042
              110.4000       0.0045
              111.0000       0.0046
              111.6000       0.0046
              112.2000       0.0047
              112.8000       0.0047
              113.4000       0.0049
              114.0000       0.0048
              114.6000       0.0049
              115.2000       0.0050
              115.8000       0.0053
              116.4000       0.0053
              117.0000       0.0054
              117.6000       0.0055
              118.2000       0.0056
              118.8000       0.0057
              119.4000       0.0057
              120.0000       0.0060
              120.6000       0.0060
              121.2000       0.0063
              121.8000       0.0063
              122.4000       0.0064
              123.0000       0.0063
              123.6000       0.0064
              124.2000       0.0066
              124.8000       0.0065
              125.4000       0.0066
              126.0000       0.0067
              126.6000       0.0068
              127.2000       0.0067
              127.8000       0.0068
              128.4000       0.0071
              129.0000       0.0072
              129.6000       0.0074
              130.2000       0.0072
              130.8000       0.0074
              131.4000       0.0074
              132.0000       0.0074
              132.6000       0.0074
              133.2000       0.0074
              133.8000       0.0074
              134.4000       0.0073
              135.0000       0.0075
              135.6000       0.0074
              136.2000       0.0076
              136.8000       0.0076
              137.4000       0.0076
              138.0000       0.0075
              138.6000       0.0076
              139.2000       0.0078
              139.8000       0.0076
              140.4000       0.0078
              141.0000       0.0081
              141.6000       0.0081
              142.2000       0.0083
              142.8000       0.0084
              143.4000       0.0089
              144.0000       0.0090
              144.6000       0.0092
              145.2000       0.0094
              145.8000       0.0098
              146.4000       0.0100
              147.0000       0.0105
              147.6000       0.0108
              148.2000       0.0111
              148.8000       0.0114
              149.4000       0.0119
              150.0000       0.0122
              150.6000       0.0128
              151.2000       0.0128
              151.8000       0.0132
              152.4000       0.0134
              153.0000       0.0136
              153.6000       0.0136
              154.2000       0.0140
              154.8000       0.0137
              155.4000       0.0140
              156.0000       0.0138
              156.6000       0.0140
              157.2000       0.0139
              157.8000       0.0135
              158.4000       0.0134
              159.0000       0.0135
              159.6000       0.0131
              160.2000       0.0130
              160.8000       0.0126
              161.4000       0.0124
              162.0000       0.0119
              162.6000       0.0116
              163.2000       0.0109
              163.8000       0.0107
              164.4000       0.0101
              165.0000       0.0097
              165.6000       0.0089
              166.2000       0.0085
              166.8000       0.0080
              167.4000       0.0077
              168.0000       0.0071
              168.6000       0.0068
              169.2000       0.0063
              169.8000       0.0058
              170.4000       0.0055
              171.0000       0.0050
              171.6000       0.0046
              172.2000       0.0042
              172.8000       0.0036
              173.4000       0.0033
              174.0000       0.0029
              174.6000       0.0025
              175.2000       0.0023
              175.8000       0.0019
              176.4000       0.0017
              177.0000       0.0013
              177.6000       0.0010
              178.2000       0.0007
              178.8000       0.0004
              179.4000       0.0001
